DATE,DFF,REPO,T10Y2Y,SP500,USD
1/3/17,0.66,287.236,1.23,2257.83,119.0881
1/4/17,0.66,266.468,1.22,2270.75,118.8785
1/5/17,0.66,233.43,1.2,2269,117.9987
1/6/17,0.66,209.205,1.2,2276.98,118.3476
1/7/17,0.66,#N/A,#N/A,#N/A,#N/A
1/8/17,0.66,#N/A,#N/A,#N/A,#N/A
1/9/17,0.66,191.97,1.17,2268.9,118.4089
1/10/17,0.66,180.715,1.19,2268.9,118.5365
1/11/17,0.66,158.82,1.18,2275.32,119.0197
1/12/17,0.66,141.218,1.18,2270.44,117.7984
1/13/17,0.66,88.201,1.19,2274.64,117.9865
1/14/17,0.66,#N/A,#N/A,#N/A,#N/A
1/15/17,0.66,#N/A,#N/A,#N/A,#N/A
1/16/17,0.66,.,.,.,.
1/17/17,0.66,96.798,1.16,2267.89,117.2644
1/18/17,0.66,130.118,1.19,2271.89,117.7232
1/19/17,0.66,138.637,1.22,2263.69,118.3174
1/20/17,0.66,148.785,1.28,2271.31,.
1/21/17,0.66,#N/A,#N/A,#N/A,#N/A
1/22/17,0.66,#N/A,#N/A,#N/A,#N/A
1/23/17,0.66,156.316,1.25,2265.2,117.2477
1/24/17,0.66,110.193,1.26,2280.07,117.0513
1/25/17,0.66,108.36,1.3,2298.37,116.9353
1/26/17,0.66,94.67,1.3,2296.68,117.2761
1/27/17,0.66,108.772,1.27,2294.69,117.0725
1/28/17,0.66,#N/A,#N/A,#N/A,#N/A
1/29/17,0.66,#N/A,#N/A,#N/A,#N/A
1/30/17,0.66,101.514,1.27,2280.9,116.7311
1/31/17,0.56,180.162,1.26,2278.87,116.2235
2/1/17,0.66,133.73,1.26,2279.55,116.391
2/2/17,0.66,111.12,1.27,2280.85,115.902
2/3/17,0.66,117.361,1.28,2297.42,115.6244
2/4/17,0.66,#N/A,#N/A,#N/A,#N/A
2/5/17,0.66,#N/A,#N/A,#N/A,#N/A
2/6/17,0.66,125.66,1.26,2292.56,116.0489
2/7/17,0.66,131.659,1.24,2293.08,116.4069
2/8/17,0.66,122.934,1.19,2294.67,116.1371
2/9/17,0.66,83.894,1.2,2307.87,116.3044
2/10/17,0.66,74.169,1.21,2316.1,116.1461
2/11/17,0.66,#N/A,#N/A,#N/A,#N/A
2/12/17,0.66,#N/A,#N/A,#N/A,#N/A
2/13/17,0.66,98.103,1.23,2328.25,116.3407
2/14/17,0.66,87.998,1.22,2337.58,116.3925
2/15/17,0.66,105.123,1.24,2349.25,116.2139
2/16/17,0.66,104.978,1.23,2347.22,116.0046
2/17/17,0.66,147.243,1.21,2351.16,116.4014
2/18/17,0.66,#N/A,#N/A,#N/A,#N/A
2/19/17,0.66,#N/A,#N/A,#N/A,#N/A
2/20/17,0.66,.,.,.,.
2/21/17,0.66,163.259,1.21,2365.38,116.59
2/22/17,0.66,177.833,1.2,2362.82,116.2112
2/23/17,0.66,187.176,1.2,2363.81,115.6503
2/24/17,0.66,160.882,1.19,2367.34,115.8119
2/25/17,0.66,#N/A,#N/A,#N/A,#N/A
2/26/17,0.66,#N/A,#N/A,#N/A,#N/A
2/27/17,0.66,153.382,1.16,2369.75,115.6739
2/28/17,0.57,204.651,1.14,2363.64,116.0011
3/1/17,0.66,156.01,1.17,2395.96,116.4353
3/2/17,0.66,168.142,1.17,2381.92,116.84
3/3/17,0.66,193.272,1.17,2383.12,116.6408
3/4/17,0.66,#N/A,#N/A,#N/A,#N/A
3/5/17,0.66,#N/A,#N/A,#N/A,#N/A
3/6/17,0.66,205.21,1.18,2375.31,116.4283
3/7/17,0.66,208.765,1.2,2368.39,116.4272
3/8/17,0.66,212.124,1.21,2362.98,116.8719
3/9/17,0.66,217.831,1.23,2364.87,116.9931
3/10/17,0.66,233.046,1.22,2372.6,116.6132
3/11/17,0.66,#N/A,#N/A,#N/A,#N/A
3/12/17,0.66,#N/A,#N/A,#N/A,#N/A
3/13/17,0.66,232.962,1.22,2373.47,116.3978
3/14/17,0.66,200.798,1.2,2365.45,116.5618
3/15/17,0.66,226.51,1.18,2385.26,116.3555
3/16/17,0.91,209.114,1.18,2381.38,115.4432
3/17/17,0.91,240.669,1.17,2378.25,115.276
